Demand,Opt
0.708137367,1
1.557902207,2
1.841157154,2
2.124412101,2
2.407667048,2
2.690921995,3
0.796654538,1
0.708137367,1
3.368487981,3
3.368487981,3
3.368487981,3
3.368487981,3
3.368487981,3
2.744032297,3
0.297735087,1
0.118022895,1
3.368487981,3
4.005829,4
4.005829,4
4.005829,4
3.368487981,3
2.478480785,2
1.190940347,1
0.944183156,1
3.368487981,3
4.005829,4
4.763761388,5
4.005829,4
1.684243991,2
1.947377759,2
3.368487981,3
4.005829,4
4.005829,4
4.005829,4
3.368487981,3
0.354068684,1
1.017947465,1
2.105304988,2
2.947426983,3
3.368487981,3
3.368487981,3
3.368487981,3
2.478480785,3
0.708137367,1
2.124412101,2
2.832549468,3
2.655515126,3
0.595470174,1
1.33980789,1
